,Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date
39,@aarukim @pheranthes @jehansesya @crownedfire @NEZTAUTV @onyourIap @idiosynchratic @jelukarnawa ㅤㅤKini matanya foku… https://t.co/nkGKCVQWmm,Kila.,5044,131,"DKI Jakarta, Indonesia",False,0,0,2019-07-27 13:47:04
40,"Jadi tadi tuu meet sama ARI terus ngobrol dan sedikit bahas Gunung Tangkuban Parahu yang erupsi, dan saling menjela… https://t.co/mk81wOxk4y",Fadhillah Nur Imani,1423,115,Bandung,False,0,0,2019-07-27 13:43:04
41,Kayaknya yg midioin udah sering naik gunung Semeru jadi liat erupsi Tangkuban Parahu serasa liat erupsi Jonggring s… https://t.co/45l2STMFGR,ARI.,836,71,Indonesia,False,0,0,2019-07-27 13:42:02
42,"Menurut BMKG, erupsi Gunung Tangkuban Parahu tak akan picu aktivitas sesar Lembang. @kontanNews https://t.co/dr5eYO08cA",Moesa J Perangin-angin,37612,1530,"Kota Medan, Sumatera Utara",False,0,0,2019-07-27 13:39:44
43,"Mitos Gunung Tangkuban Parahu yang Erupsi, Asap Hitam Membubung Tinggi, Wisatawan Panik. . | Berita Medan Hari Ini… https://t.co/lpsX1DwPXw",Trend Info,20227,278,NY,False,0,0,2019-07-27 13:21:06
44,RT @jpnncom: BNPB mengabarkan sejauh ini belum ada laporan ataupun informasi tentang korban jiwa akibat letusan Gunung Tangkuban Parahu di…,yandrikputera,17440,208,Cats me if U can!,False,0,0,2019-07-27 13:20:57
45,BMKG: Erupsi Gunung Tangkuban Parahu tak akan picu aktivitas sesar Lembang https://t.co/QTMiQpIMEl #ErupsiGunung,KONTAN NEWS,480611,303331,"Jakarta, Indonesia",True,1,1,2019-07-27 13:15:02
46,Kepolisian Daerah Jawa Barat memutuskan untuk menutup kawasan Taman Wisata Alam Gunung Tangkuban Parahu selama tiga… https://t.co/mxgBD7UIBC,Elshinta Bandung,38414,7840,"Kota Bandung, Jawa Barat",False,0,0,2019-07-27 13:07:09
47,"RT @RadioElshinta: Kapolda Jabar, Irjen Pol Rudy Sufahriadi meninjau lokasi kawasan wisata Gunung Tangkuban Parahu, pasca-erupsi, Jumat (26…",fajar camaru,1374,700,,False,0,5,2019-07-27 13:05:12
48,Gubernur Jawa Barat M Ridwan Kamil meminta kepada seluruh warga agar tidak menyebarkan hoaks terkait peristiwa erup… https://t.co/fVpzndN2cp,Elshinta Bandung,38414,7840,"Kota Bandung, Jawa Barat",False,1,1,2019-07-27 13:03:33
49,Sekitar 100 orang petugas pengelola Taman Wisata Alam (TWA) Gunung Tangkuban Parahu serta personel Brimob bersama-s… https://t.co/t7QBB1jLSr,Elshinta Bandung,38414,7840,"Kota Bandung, Jawa Barat",False,0,0,2019-07-27 13:00:31
50,"RT @NEZTAUTV: #NEZTBreakingNews
📍The East Kuningan, Gunung Tangkuban Parahu Bandung.
July, 27th 2019.
BREAKING NEWS: Gunung Tangkuban Parah…",Qiansha A. Larasati.,8810,110,JKT - SOC,False,0,15,2019-07-27 12:59:31
51,RT @bantenhariini1: https://t.co/g0WoCUqr1l,sultantv.co,453,113,"Kota Serang, Banten",False,0,1,2019-07-27 12:55:12
